,Headline,Timestamp,result,ms_today,ms_tomorrow,normalized_headline
24,Sensex falls ahead of GST; set for first monthly loss this year,2017-06-30,True,1,0,sensex falls ahead of gst; set for first monthly loss this year
46,"Sensex trades flat, Nifty below 9,500; broader markets buck trend",2017-06-30,True,1,0,"sensex trades flat, nifty below 9,500; broader markets buck trend"
89,"Sensex trades lower, Nifty below 9,500; BSE Midcap bucks trend",2017-06-30,True,1,0,"sensex trades lower, nifty below 9,500; bse midcap bucks trend"
90,"Market in wait and watch, Sensex slips over 150 points ahead of GST ",2017-06-30,True,1,0,"market in wait and watch, sensex slips over 150 points ahead of gst "
112,"Markets Live: Sensex, Nifty fall steeply ahead of GST rollout",2017-06-30,True,1,0,"markets live: sensex, nifty fall steeply ahead of gst rollout"
119,"Sensex tanks over 150 points, Nifty50 tests 9450; banking shares hit hard",2017-06-30,True,1,0,"sensex tanks over 150 points, nifty50 tests 9450; banking shares hit hard"
121,"Nifty opens July F&O series below 9,500; Sensex down 100 points",2017-06-30,True,1,0,"nifty opens july fo series below 9,500; sensex down 100 points"
218,BSE Sensex will scale 33000 by end-2017 on Modi govt’s reforms policy: poll,2017-06-29,True,0,1,bse sensex will scale 33000 by end-2017 on modi govts reforms policy: poll
249,"Sensex ends flat, Nifty50 settles June F&O series at 9,504",2017-06-29,True,0,1,"sensex ends flat, nifty50 settles june fo series at 9,504"
262,"Nifty settles June F&O series a tad above 9,500; Sensex ends flat",2017-06-29,True,0,1,"nifty settles june fo series a tad above 9,500; sensex ends flat"
274,"Sensex to reach record high by year-end on govt reforms, finds poll",2017-06-29,True,0,1,"sensex to reach record high by year-end on govt reforms, finds poll"
299,"Markets pare gains; Sensex slips below 31,000 in noon deals",2017-06-29,True,0,1,"markets pare gains; sensex slips below 31,000 in noon deals"
321,"Sensex pushes higher, Nifty reclaims 9550, ahead of F&O expiry ",2017-06-29,True,0,1,"sensex pushes higher, nifty reclaims 9550, ahead of fo expiry "
343,"Sensex up 200 points, Nifty above 9550 ahead of F&O expiry; Axis Bank leads",2017-06-29,True,0,1,"sensex up 200 points, nifty above 9550 ahead of fo expiry; axis bank leads"
369,"Sensex goes up 160 points on reforms, F&O expiry",2017-06-29,True,0,1,"sensex goes up 160 points on reforms, fo expiry"
